iso_code,vaccines
OWID_KOS,Oxford/AstraZeneca
KWT,Pfizer/BioNTech
KGZ,"Sinopharm/Beijing, Sputnik V"
LAO,"Sinopharm/Beijing, Sputnik V"
LVA,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
LBN,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
LSO,Oxford/AstraZeneca
LBR,Oxford/AstraZeneca
LBY,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
LIE,"Moderna, Pfizer/BioNTech"
LTU,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
LUX,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
MAC,"Pfizer/BioNTech, Sinopharm/Beijing"
MDG,Oxford/AstraZeneca
MWI,Oxford/AstraZeneca
MYS,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
MDV,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
MLI,Oxford/AstraZeneca
MLT,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
MRT,"BBIBP-CorV, Oxford/AstraZeneca"
MUS,"BBIBP-CorV, Covaxin, Oxford/AstraZeneca"
MEX,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
MDA,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
MCO,Pfizer/BioNTech
MNG,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
MNE,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
MSR,Oxford/AstraZeneca
MAR,"Oxford/AstraZeneca, Sinopharm/Beijing"
MOZ,"BBIBP-CorV, Oxford/AstraZeneca"
MMR,"BBIBP-CorV, Oxford/AstraZeneca"
NAM,"Oxford/AstraZeneca, Sinopharm/Beijing"
NRU,Oxford/AstraZeneca
NPL,"Oxford/AstraZeneca, Sinopharm/Beijing"
NLD,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
NCL,Pfizer/BioNTech
NZL,Pfizer/BioNTech
NIC,"Oxford/AstraZeneca, Sputnik V"
NER,"BBIBP-CorV, Oxford/AstraZeneca"
NGA,Oxford/AstraZeneca
MKD,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V"
OWID_CYN,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
OWID_NIR,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
NOR,"Moderna, Pfizer/BioNTech"
OMN,"Oxford/AstraZeneca, Pfizer/BioNTech"
PAK,"CanSino, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V"
PSE,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
PAN,"Oxford/AstraZeneca, Pfizer/BioNTech"
PNG,"BBIBP-CorV, Oxford/AstraZeneca"
PRY,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V"
PER,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
PHL,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
PCN,Oxford/AstraZeneca
POL,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
PRT,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
QAT,"Moderna, Pfizer/BioNTech"
ROU,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
RUS,"EpiVacCorona, Sputnik V"
RWA,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
SHN,Oxford/AstraZeneca
KNA,Oxford/AstraZeneca
LCA,Oxford/AstraZeneca
VCT,Oxford/AstraZeneca
WSM,Oxford/AstraZeneca
SMR,"Pfizer/BioNTech, Sputnik V"
STP,Oxford/AstraZeneca
SAU,"Oxford/AstraZeneca, Pfizer/BioNTech"
OWID_SCT,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
SEN,"BBIBP-CorV, Oxford/AstraZeneca"
SRB,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
SYC,"Oxford/AstraZeneca, Sinopharm/Beijing"
SLE,"BBIBP-CorV, Oxford/AstraZeneca"
SGP,"Moderna, Pfizer/BioNTech, Sinovac"
SXM,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
SVK,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
SVN,"Oxford/AstraZeneca, Pfizer/BioNTech"
SLB,Oxford/AstraZeneca
SOM,"BBIBP-CorV, Oxford/AstraZeneca, Sinovac"
ZAF,"Johnson&Johnson, Pfizer/BioNTech"
KOR,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
SSD,Oxford/AstraZeneca
ESP,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
LKA,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
SDN,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
SUR,Oxford/AstraZeneca
SWE,"Oxford/AstraZeneca, Pfizer/BioNTech"
CHE,"Moderna, Pfizer/BioNTech"
SYR,"BBIBP-CorV, Oxford/AstraZeneca, Sputnik V"
TWN,"Moderna, Oxford/AstraZeneca"
TJK,"Oxford/AstraZeneca, Sinovac"
THA,"Oxford/AstraZeneca, Sinovac"
TLS,"Oxford/AstraZeneca, Sinovac"
TGO,Oxford/AstraZeneca
TON,Oxford/AstraZeneca
TTO,Oxford/AstraZeneca
TUN,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
TUR,"Pfizer/BioNTech, Sinovac"
TKM,"EpiVacCorona, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
TCA,Pfizer/BioNTech
TUV,Oxford/AstraZeneca
UGA,Oxford/AstraZeneca
UKR,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
ARE,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
GBR,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
